"agep","schg","esr","puma","serialno"
17,,"6","11612","2017000165892"
21,,"3","11604","2017000228609"
18,,"3","11612","2017000360750"
18,,"6","11610","2017000148009"
20,,"6","11614","2017000192893"
24,,"6","11615","2017000251936"
19,,"6","11611","2017000303528"
21,,"6","11611","2017000319171"
18,,"3","11612","2017000353715"
23,,"6","11611","2017000385529"
19,,"3","11611","2017000384030"
22,,"3","11610","2017000407899"
23,,"6","11614","2017000386759"
22,,"6","11614","2017000418680"
22,,"6","11610","2017000787533"
24,,"6","11611","2017000432575"
22,,"6","11610","2017000490946"
24,,"3","11614","2017000492089"
23,,"6","11610","2017000611914"
19,,"3","11612","2017000616102"
16,,"3","11614","2017000648807"
16,,"6","11612","2017000468464"
19,,"6","11612","2017000470800"
23,,"6","11610","2017000473358"
24,,"6","11604","2017000479446"
18,,"3","11614","2017000551115"
21,,"6","11612","2017000586985"
19,,"6","11611","2017000598123"
21,,"6","11612","2017000615844"
23,,"3","11614","2017000703624"
24,,"3","11613","2017000736269"
22,,"3","11612","2017000751960"
20,,"6","11612","2017000806771"
20,,"3","11612","2017000806771"
23,,"6","11610","2017000811896"
22,,"6","11610","2017000811896"
22,,"6","11615","2017000908520"
20,,"3","11611","2017000813384"
22,,"3","11615","2017000826205"
19,,"6","11613","2017000873120"
21,,"6","11604","2017000882461"
22,,"3","11611","2017000828457"
23,,"6","11614","2017000854674"
24,,"6","11614","2017001093903"
23,,"6","11614","2017000921121"
21,,"6","11611","2017000971543"
24,,"6","11613","2017001031907"
16,,"6","11611","2017001063337"
24,,"6","11614","2017000914886"
20,,"3","11610","2017000918811"
19,,"3","11615","2017000933828"
24,,"6","11612","2017000992553"
24,,"6","11614","2017000996756"
20,,"3","11611","2017001014999"
20,,"6","11615","2017001219485"
17,,"6","11612","2017001151675"
17,,"6","11612","2017001208143"
19,,"3","11614","2017001273508"
21,,"6","11613","2017001244336"
24,,"6","11615","2017001325124"
17,,"3","11611","2017001295574"
22,,"3","11610","2017001373291"
23,,"6","11613","2017001366540"
24,,"6","11614","2017001338622"
18,,"6","11613","2017001386502"
21,,"6","11613","2017001464049"
23,,"6","11613","2017001470135"
18,,"6","11613","2017001518359"
