"agep","schg","esr","puma","serialno"
19,,"3","11614","2016001026659"
24,,"6","11610","2016001082259"
24,,"6","11612","2016001138069"
22,,"6","11614","2016001144392"
20,,"6","11614","2016001144392"
18,,"6","11614","2016001144392"
24,,"6","11611","2016000976133"
16,,"6","11610","2016001052457"
23,,"6","11613","2016001228456"
18,,"6","11615","2016001183818"
19,,"6","11614","2016001199018"
22,,"6","11614","2016001203802"
22,,"3","11610","2016001292070"
19,,"6","11615","2016001260378"
19,,"3","11613","2016001395474"
22,,"3","11613","2016001307835"
22,,"3","11613","2016001334291"
22,,"3","11613","2016001443268"
21,,"3","11615","2017000004988"
24,,"3","11614","2016001455607"
23,,"3","11614","2016001455607"
22,,"3","11614","2016001455607"
20,,"3","11615","2017000106825"
21,,"6","11615","2017000014627"
19,,"6","11613","2017000038036"
22,,"6","11610","2017000066906"
20,,"6","11615","2017000108454"
18,,"6","11610","2017000148009"
23,,"3","11611","2017000128413"
23,,"3","11613","2017000371573"
24,,"3","11614","2017000149617"
17,,"6","11612","2017000165892"
20,,"6","11614","2017000192893"
24,,"6","11615","2017000251936"
18,,"3","11612","2017000353715"
18,,"3","11612","2017000360750"
19,,"6","11611","2017000303528"
21,,"6","11611","2017000319171"
19,,"3","11611","2017000384030"
23,,"6","11611","2017000385529"
24,,"6","11611","2017000432575"
23,,"6","11614","2017000386759"
22,,"3","11610","2017000407899"
22,,"6","11614","2017000418680"
19,,"6","11612","2017000470800"
16,,"6","11612","2017000468464"
23,,"6","11610","2017000473358"
22,,"6","11610","2017000490946"
21,,"6","11612","2017000586985"
24,,"3","11614","2017000492089"
18,,"3","11614","2017000551115"
19,,"6","11611","2017000598123"
19,,"3","11612","2017000616102"
23,,"6","11610","2017000611914"
21,,"6","11612","2017000615844"
22,,"6","11610","2017000787533"
16,,"3","11614","2017000648807"
24,,"3","11613","2017000736269"
23,,"3","11614","2017000703624"
22,,"3","11612","2017000751960"
20,,"3","11611","2017000813384"
23,,"6","11610","2017000811896"
22,,"6","11610","2017000811896"
20,,"6","11612","2017000806771"
20,,"3","11612","2017000806771"
22,,"3","11611","2017000828457"
22,,"3","11615","2017000826205"
23,,"6","11614","2017000854674"
22,,"6","11615","2017000908520"
19,,"6","11613","2017000873120"
24,,"6","11614","2017000914886"
21,,"6","11611","2017000971543"
20,,"3","11610","2017000918811"
23,,"6","11614","2017000921121"
19,,"3","11615","2017000933828"
24,,"6","11614","2017000996756"
24,,"6","11612","2017000992553"
17,,"6","11612","2017001208143"
20,,"3","11611","2017001014999"
24,,"6","11613","2017001031907"
24,,"6","11614","2017001093903"
17,,"6","11612","2017001151675"
16,,"6","11611","2017001063337"
21,,"6","11613","2017001244336"
20,,"6","11615","2017001219485"
19,,"3","11614","2017001273508"
24,,"6","11614","2017001338622"
17,,"3","11611","2017001295574"
24,,"6","11615","2017001325124"
21,,"6","11613","2017001464049"
23,,"6","11613","2017001366540"
22,,"3","11610","2017001373291"
18,,"6","11613","2017001386502"
23,,"6","11613","2017001470135"
18,,"6","11613","2017001518359"
