"agep","schg","esr","puma","serialno"
24,,"6","11610","2016001082259"
20,,"6","11614","2016001026659"
19,,"3","11614","2016001026659"
16,,"6","11610","2016001052457"
22,,"6","11614","2016001144392"
20,,"6","11614","2016001144392"
18,,"6","11614","2016001144392"
19,,"6","11613","2016001145659"
23,,"6","11613","2016001228456"
19,,"6","11614","2016001199018"
22,,"6","11614","2016001203802"
20,,"6","11604","2016001214313"
20,,"6","11604","2016001308028"
22,,"3","11613","2016001307835"
22,,"3","11610","2016001292070"
22,,"3","11613","2016001334291"
24,,"3","11614","2017000149617"
22,,"3","11613","2016001443268"
19,,"6","11613","2017000038036"
23,,"3","11611","2017000128413"
18,,"6","11610","2017000148009"
19,,"3","11613","2016001395474"
24,,"3","11614","2016001455607"
23,,"3","11614","2016001455607"
22,,"3","11614","2016001455607"
22,,"6","11610","2017000066906"
17,,"6","11612","2017000165892"
21,,"3","11604","2017000228609"
20,,"6","11614","2017000192893"
23,,"3","11613","2017000371573"
21,,"6","11611","2017000319171"
18,,"3","11612","2017000353715"
18,,"3","11612","2017000360750"
19,,"6","11611","2017000303528"
23,,"6","11610","2017000473358"
19,,"3","11611","2017000384030"
22,,"3","11610","2017000407899"
22,,"6","11614","2017000418680"
16,,"6","11612","2017000468464"
19,,"6","11612","2017000470800"
23,,"6","11611","2017000385529"
23,,"6","11614","2017000386759"
24,,"6","11611","2017000432575"
21,,"6","11612","2017000586985"
24,,"6","11604","2017000479446"
24,,"3","11614","2017000492089"
22,,"6","11610","2017000490946"
18,,"3","11614","2017000551115"
23,,"6","11610","2017000611914"
19,,"6","11611","2017000598123"
23,,"3","11614","2017000703624"
21,,"6","11612","2017000615844"
19,,"3","11612","2017000616102"
16,,"3","11614","2017000648807"
20,,"6","11612","2017000806771"
22,,"3","11612","2017000751960"
22,,"6","11610","2017000787533"
24,,"3","11613","2017000736269"
20,,"3","11612","2017000806771"
23,,"6","11614","2017000854674"
23,,"6","11610","2017000811896"
22,,"6","11610","2017000811896"
20,,"3","11611","2017000813384"
22,,"3","11611","2017000828457"
21,,"6","11604","2017000882461"
19,,"6","11613","2017000873120"
24,,"6","11614","2017000914886"
24,,"6","11613","2017001031907"
23,,"6","11614","2017000921121"
21,,"6","11611","2017000971543"
20,,"3","11611","2017001014999"
20,,"3","11610","2017000918811"
24,,"6","11612","2017000992553"
24,,"6","11614","2017000996756"
17,,"6","11612","2017001151675"
24,,"6","11614","2017001093903"
16,,"6","11611","2017001063337"
17,,"3","11611","2017001295574"
17,,"6","11612","2017001208143"
21,,"6","11613","2017001244336"
19,,"3","11614","2017001273508"
23,,"6","11613","2017001366540"
24,,"6","11614","2017001338622"
22,,"3","11610","2017001373291"
21,,"6","11613","2017001464049"
18,,"6","11613","2017001386502"
18,,"6","11613","2017001518359"
23,,"6","11613","2017001470135"
