"agep","schg","esr","puma","serialno"
21,"15","1","11611","2015000856272"
16,"13","2","11611","2015000848068"
16,"13","1","11611","2015000857943"
18,"14","1","11613","2015000862105"
20,"15","1","11610","2015000867514"
20,"15","1","11604","2015000868511"
17,"13","1","11613","2015000867344"
22,"15","1","11613","2015000974416"
20,"15","1","11610","2015000884869"
22,"15","1","11604","2015000898128"
19,"16","1","11613","2015000879828"
17,"14","1","11614","2015000921793"
20,"15","1","11604","2015000936375"
17,"14","1","11614","2015000940772"
20,"15","1","11604","2015000959593"
16,"12","1","11614","2015001004139"
24,"15","1","11613","2015000974416"
19,"15","1","11604","2015000976914"
20,"15","1","11612","2015000986571"
18,"14","1","11612","2015000986571"
18,"15","1","11613","2015000991594"
21,"15","1","11614","2015001001077"
20,"15","2","11612","2015001006212"
18,"15","1","11612","2015001012660"
18,"15","1","11604","2015001014053"
18,"15","1","11604","2015001049640"
19,"15","2","11614","2015001075258"
20,"15","1","11613","2015001056104"
18,"15","1","11613","2015001065864"
17,"14","1","11610","2015001083524"
21,"15","1","11604","2015001078258"
18,"15","1","11614","2015001118950"
22,"15","2","11613","2015001156582"
18,"14","1","11611","2015001126571"
17,"14","1","11613","2015001152512"
21,"15","1","11614","2015001136697"
20,"15","1","11613","2015001156582"
18,"14","1","11613","2015001156582"
19,"15","1","11613","2015001217426"
20,"15","1","11610","2015001212817"
21,"15","1","11614","2015001235434"
18,"15","1","11604","2015001253221"
18,"13","1","11614","2015001236315"
20,"15","1","11614","2015001241026"
18,"15","1","11614","2015001241026"
16,"12","1","11614","2015001243397"
22,"15","1","11611","2015001265350"
18,"14","1","11610","2015001255766"
19,"15","1","11611","2015001263346"
18,"15","1","11611","2015001265350"
19,"15","1","11612","2015001302400"
21,"15","2","11604","2015001274331"
18,"15","2","11604","2015001278138"
16,"13","1","11612","2015001302400"
22,"15","1","11614","2015001313106"
22,"15","1","11613","2015001304048"
22,"15","1","11604","2015001354943"
17,"14","1","11614","2015001319064"
20,"15","1","11614","2015001377327"
18,"15","1","11613","2015001378815"
22,"15","1","11613","2015001392964"
17,"14","1","11604","2015001403795"
24,"15","1","11604","2015001405312"
22,"15","1","11604","2015001486482"
18,"15","1","11614","2015001432533"
19,"15","1","11604","2015001471285"
18,"14","1","11612","2015001482107"
20,"15","1","11604","2015001464146"
24,"16","1","11612","2015001497411"
18,"15","1","11611","2015001487410"
24,"16","1","11611","2015001493515"
19,"15","1","11611","2016000123969"
22,"15","1","11613","2016000041504"
19,"15","2","11612","2016000094131"
17,"14","1","11613","2016000117857"
16,"13","1","11610","2015001513140"
18,"15","1","11604","2016000006163"
21,"15","1","11612","2016000008972"
17,"14","1","11614","2016000321058"
21,"15","1","11612","2016000165872"
17,"13","1","11613","2016000178610"
21,"15","1","11612","2016000185325"
20,"15","1","11610","2016000238939"
16,"13","1","11614","2016000269969"
23,"15","1","11614","2016000269969"
19,"15","1","11612","2016000298604"
22,"14","1","11611","2016000204953"
20,"15","1","11610","2016000249454"
16,"13","1","11613","2016000305053"
19,"15","1","11613","2016000319608"
19,"15","1","11604","2016000321409"
20,"15","1","11610","2016000335885"
16,"13","1","11610","2016000328802"
18,"14","1","11610","2016000385698"
24,"16","1","11611","2016000353439"
21,"15","1","11611","2016000363515"
18,"14","1","11611","2016000363515"
17,"13","1","11613","2016000357342"
24,"15","1","11614","2016000367852"
20,"15","1","11610","2016000386006"
18,"14","1","11604","2016000402596"
24,"15","1","11613","2016000390847"
16,"12","1","11614","2016000399403"
17,"14","1","11611","2016000390993"
21,"15","1","11604","2016000407824"
20,"15","1","11604","2016000407824"
19,"15","1","11604","2016000411994"
23,"15","1","11613","2016000408101"
24,"16","1","11613","2016000415807"
20,"15","1","11614","2016000553822"
16,"12","1","11610","2016000422993"
21,"15","2","11611","2016000478870"
17,"13","1","11604","2016000519781"
24,"16","2","11604","2016000435341"
23,"15","1","11613","2016000482773"
20,"15","1","11604","2016000486414"
22,"15","1","11610","2016000501510"
22,"15","1","11610","2016000625632"
24,"15","1","11610","2016000557517"
16,"13","2","11613","2016000569624"
21,"15","1","11614","2016000607668"
22,"15","1","11604","2016000566599"
18,"15","1","11604","2016000566599"
24,"15","1","11613","2016000575588"
24,"15","1","11613","2016000633908"
23,"15","1","11611","2016000631184"
19,"15","1","11612","2016000638659"
23,"15","1","11613","2016000717848"
22,"15","2","11611","2016000698789"
16,"13","1","11610","2016000649732"
19,"15","1","11614","2016000659284"
22,"15","1","11614","2016000659284"
23,"15","1","11613","2016000717848"
21,"15","1","11614","2016000726292"
20,"15","1","11614","2016000788626"
19,"15","1","11613","2016000778105"
19,"15","1","11611","2016000819511"
19,"15","1","11604","2016000825389"
18,"13","1","11612","2016000837694"
19,"15","1","11612","2016000829852"
16,"13","2","11611","2016000875857"
20,"15","1","11613","2016000862493"
17,"13","1","11613","2016000857096"
22,"15","1","11613","2016000899186"
18,"13","1","11614","2016000885584"
16,"12","1","11614","2016000887301"
19,"15","1","11604","2016000899363"
21,"15","1","11613","2016000899186"
18,"15","1","11611","2016000905161"
24,"16","1","11604","2016001067761"
22,"15","1","11610","2016000924064"
21,"15","1","11612","2016000967660"
22,"15","1","11613","2016000972253"
17,"14","1","11611","2016000984823"
22,"15","1","11610","2016000935013"
23,"15","2","11604","2016000953143"
23,"15","2","11604","2016000953143"
23,"15","1","11611","2016000956457"
20,"15","1","11614","2016000959876"
17,"13","1","11611","2016001002458"
17,"14","2","11614","2016001026659"
22,"15","1","11614","2016001041317"
24,"15","1","11613","2016001045374"
20,"14","1","11611","2016001068974"
17,"13","1","11611","2016001091071"
20,"15","1","11613","2016001074056"
17,"14","1","11613","2016001074056"
20,"15","1","11614","2016001075866"
20,"15","1","11613","2016001078063"
22,"15","1","11610","2016001119438"
19,"15","1","11604","2016001164365"
22,"15","1","11614","2016001143361"
17,"13","1","11611","2016001144112"
22,"15","1","11614","2016001178387"
20,"15","1","11613","2016001169552"
18,"14","1","11613","2016001169552"
22,"15","1","11612","2016001206037"
22,"15","1","11613","2016001185900"
18,"14","1","11613","2016001200264"
23,"15","1","11613","2016001228456"
23,"15","1","11613","2016001228456"
23,"15","1","11613","2016001228456"
20,"15","1","11613","2016001228456"
18,"14","1","11610","2016001318909"
21,"15","1","11612","2016001312132"
18,"14","1","11614","2016001234862"
19,"15","1","11612","2016001236405"
23,"15","1","11612","2016001249955"
20,"15","1","11610","2016001312770"
18,"14","1","11610","2016001312770"
19,"15","1","11604","2016001346966"
24,"15","1","11612","2016001345077"
16,"12","1","11614","2016001418174"
23,"15","1","11610","2016001393264"
23,"15","1","11614","2016001400238"
20,"15","1","11610","2016001468478"
21,"15","1","11611","2016001426353"
21,"15","1","11612","2016001445867"
21,"15","1","11612","2016001445867"
16,"13","1","11613","2016001452050"
24,"15","1","11611","2016001460503"
21,"15","1","11614","2016001457774"
21,"15","1","11611","2016001464694"
19,"15","1","11612","2017000010659"
19,"15","1","11611","2017000032162"
22,"15","1","11604","2017000014740"
19,"15","1","11612","2017000023927"
22,"15","1","11614","2017000027640"
20,"15","1","11610","2017000053881"
16,"12","1","11612","2017000042391"
23,"15","1","11604","2017000034094"
20,"15","1","11611","2017000105836"
17,"14","1","11612","2017000059448"
20,"15","1","11612","2017000306270"
16,"12","1","11613","2017000109555"
19,"15","1","11614","2017000116809"
18,"15","1","11612","2017000154507"
17,"14","1","11614","2017000159949"
22,"15","1","11612","2017000290496"
19,"14","1","11611","2017000117592"
24,"15","1","11613","2017000125603"
23,"16","1","11610","2017000136325"
18,"14","1","11610","2017000143863"
20,"15","1","11612","2017000150183"
23,"15","1","11610","2017000153561"
23,"15","1","11612","2017000154507"
18,"14","1","11613","2017000191305"
18,"14","1","11614","2017000192893"
23,"15","1","11610","2017000243052"
24,"15","1","11610","2017000243052"
19,"15","1","11613","2017000282499"
20,"15","2","11613","2017000303142"
19,"15","1","11613","2017000303142"
19,"15","1","11611","2017000310534"
20,"15","1","11614","2017000410426"
24,"16","1","11610","2017000311589"
23,"15","1","11611","2017000322197"
21,"15","1","11612","2017000323107"
20,"14","1","11611","2017000364160"
20,"15","1","11612","2017000380168"
21,"15","1","11610","2017000356067"
18,"15","1","11614","2017000410426"
18,"14","1","11604","2017000503596"
19,"15","1","11613","2017000421735"
19,"13","1","11611","2017000441351"
22,"15","1","11613","2017000447178"
17,"15","1","11611","2017000468811"
24,"16","1","11604","2017000588905"
17,"13","1","11604","2017000534628"
17,"13","1","11604","2017000542329"
20,"15","1","11604","2017000542329"
19,"15","1","11613","2017000553593"
16,"12","1","11604","2017000560855"
16,"12","1","11613","2017000577390"
17,"14","1","11612","2017000607262"
21,"15","1","11611","2017000599896"
19,"15","1","11614","2017000606097"
22,"16","1","11610","2017000614473"
24,"15","1","11604","2017000610232"
21,"15","1","11610","2017000614473"
16,"12","1","11611","2017000647095"
24,"15","1","11604","2017000642948"
18,"15","1","11611","2017000656189"
18,"14","1","11613","2017000652588"
20,"15","1","11613","2017000652634"
23,"15","1","11612","2017000655362"
21,"15","1","11611","2017000690017"
18,"15","1","11610","2017000663205"
19,"15","1","11612","2017000664933"
18,"14","1","11612","2017000664933"
18,"14","1","11611","2017000705943"
17,"14","1","11604","2017000719204"
16,"13","1","11610","2017000737524"
23,"15","1","11610","2017000810165"
19,"15","1","11611","2017000756564"
23,"14","1","11611","2017000768914"
21,"15","1","11613","2017000796634"
21,"15","2","11613","2017000737812"
20,"15","1","11612","2017000796034"
24,"16","1","11612","2017000796034"
23,"15","1","11612","2017000861224"
16,"13","1","11604","2017000844069"
22,"16","1","11604","2017000846532"
19,"15","1","11610","2017000815419"
20,"15","1","11614","2017000880052"
19,"15","1","11614","2017000863411"
22,"15","1","11610","2017000897915"
17,"14","1","11614","2017000889389"
21,"16","1","11610","2017000897915"
22,"15","1","11613","2017000911047"
18,"14","1","11611","2017000905333"
20,"15","1","11613","2017000919339"
18,"14","1","11610","2017000911963"
17,"13","1","11613","2017000919339"
17,"15","1","11614","2017000929217"
19,"10","1","11604","2017000936313"
18,"14","2","11612","2017000929725"
22,"15","1","11610","2017000932794"
22,"15","1","11612","2017000997493"
23,"15","1","11613","2017000972723"
18,"14","1","11611","2017000977787"
20,"15","1","11604","2017000989550"
19,"15","1","11611","2017000992901"
16,"13","1","11611","2017000992901"
20,"15","1","11613","2017000939132"
18,"14","1","11611","2017000987843"
19,"14","1","11614","2017001009031"
16,"12","1","11614","2017001001856"
17,"14","2","11612","2017001001943"
18,"15","1","11611","2017001008617"
19,"15","1","11611","2017001010704"
16,"12","1","11604","2017001012729"
22,"15","1","11610","2017001012731"
23,"15","1","11612","2017001015188"
20,"15","1","11611","2017001050504"
21,"15","1","11610","2017001025786"
16,"13","1","11611","2017001034510"
21,"15","2","11613","2017001048980"
18,"14","1","11614","2017001083915"
20,"15","1","11604","2017001064903"
18,"14","1","11612","2017001074990"
19,"15","1","11611","2017001050504"
24,"15","1","11614","2017001096811"
22,"15","1","11604","2017001124733"
17,"13","1","11610","2017001122031"
20,"15","1","11610","2017001125675"
17,"14","1","11614","2017001155756"
17,"14","1","11613","2017001128997"
19,"15","1","11613","2017001128997"
18,"15","1","11604","2017001137298"
22,"15","1","11610","2017001125972"
